Language,Average Time (ms),All Times (ms)
v,0.00,"0,0"
haskell,0.00,"0,0"
julia,475.50,"475,476"
zig,483.00,"483,483"
luajit,753.00,"754,752"
rust,761.00,"760,762"
d,852.00,"857,847"
cpp,860.00,"848,872"
d ldc2,860.00,"863,857"
ocamlopt,878.00,"874,882"
c,891.50,"920,863"
CL/SBCL,1147.50,"1151,1144"
java21/panama,1328.50,"1297,1360"
java24/panama,1395.00,"1418,1372"
java8/jni,1456.00,"1474,1438"
java21/jni,1648.50,"1646,1651"
java24/jni,1669.50,"1665,1674"
ocamlc,2596.50,"2591,2602"
clj/coffi,2606.00,"2581,2631"
node,3893.50,"3867,3920"
elixir,8167.50,"8136,8199"
go,12221.50,"12268,12175"
csharp mono,18222.00,"18218,18226"
janet,24341.50,"24335,24348"
