Language,Average Time (ms),All Times (ms),Babashka samples (JSON),Babashka control mean (ms),Babashka incremental mean (ms),Babashka incremental mean (ns/call)
julia,499.70,"506,500,495,499,501,498,499,500,499,500",,,,
zig,500.30,"508,507,501,500,501,502,497,494,496,497",,,,
c/static,502.80,"512,500,500,504,502,502,498,504,503,503",,,,
rust,797.90,"798,799,797,795,791,789,794,802,809,805",,,,
v,808.00,"801,806,809,817,808,803,814,808,806,808",,,,
ocamlopt,890.30,"892,891,882,876,887,895,894,891,897,898",,,,
cpp,909.20,"874,916,875,892,917,882,884,987,890,975",,,,
d,913.60,"906,915,918,916,911,910,906,923,921,910",,,,
c/dynamic,914.90,"957,896,933,932,896,893,992,890,883,877",,,,
haskell,924.00,"957,914,952,925,902,895,955,942,901,897",,,,
d ldc2,924.90,"901,906,926,966,931,900,896,937,928,958",,,,
CL/SBCL,1202.80,"1174,1180,1207,1195,1194,1204,1180,1258,1169,1267",,,,
cljd/ffi/aot/leaf,1206.00,"1211,1206,1222,1198,1208,1223,1202,1188,1201,1201",,,,
chez,1249.30,"1303,1229,1234,1228,1231,1231,1246,1261,1313,1217",,,,
cljd/ffi/jit/leaf,1305.20,"1292,1305,1302,1321,1299,1296,1294,1337,1313,1293",,,,
java21/panama,1310.80,"1187,1335,1358,1349,1213,1345,1362,1353,1417,1189",,,,
luajit,1360.00,"1372,1347,1373,1369,1356,1375,1377,1350,1340,1341",,,,
java8/jni,1505.40,"1510,1518,1496,1522,1491,1493,1521,1480,1483,1540",,,,
java21/jni,1522.10,"1529,1508,1594,1505,1486,1506,1595,1469,1535,1494",,,,
java25/jni,1531.00,"1507,1520,1531,1547,1537,1527,1541,1550,1550,1500",,,,
java25/panama,1722.30,"1375,1891,1335,1364,1356,1355,4454,1363,1362,1368",,,,
clj/panama,2093.40,"2081,2091,2193,2182,2079,2066,2045,2076,2057,2064",,,,
ocamlc,2510.30,"2515,2490,2548,2505,2506,2512,2491,2477,2467,2592",,,,
cljd/ffi/aot,2550.10,"2563,2531,2532,2521,2583,2565,2614,2524,2532,2536",,,,
cljd/ffi/jit,2749.80,"2718,2788,2909,2682,2870,2783,2736,2670,2677,2665",,,,
clj/coffi,2788.60,"2860,2837,2791,2741,2758,2823,2770,2813,2690,2803",,,,
jolt,2969.00,"2837,2752,2840,2994,2871,2860,2924,3452,2829,3331",,,,
dart,3046.50,"3023,3031,3017,3003,2996,3013,3072,3108,3152,3050",,,,
node,3829.60,"3811,3962,3754,3780,3789,3825,3821,3870,3886,3798",,,,
elixir,8845.30,"8779,8804,8863,8985,8763,8873,8911,8866,8853,8756",,,,
go,9869.40,"9913,9873,9812,9827,9980,10017,10048,9848,9792,9584",,,,
babashka,17288.40,"17980,17740,16954,17303,17798,17624,17129,16915,16758,16683","[{""count"": 500000000, ""control_ms"": 1721, ""ffi_ms"": 17980}, {""count"": 500000000, ""control_ms"": 1606, ""ffi_ms"": 17740}, {""count"": 500000000, ""control_ms"": 1622, ""ffi_ms"": 16954}, {""count"": 500000000, ""control_ms"": 1635, ""ffi_ms"": 17303}, {""count"": 500000000, ""control_ms"": 1594, ""ffi_ms"": 17798}, {""count"": 500000000, ""control_ms"": 1846, ""ffi_ms"": 17624}, {""count"": 500000000, ""control_ms"": 1737, ""ffi_ms"": 17129}, {""count"": 500000000, ""control_ms"": 1603, ""ffi_ms"": 16915}, {""count"": 500000000, ""control_ms"": 1584, ""ffi_ms"": 16758}, {""count"": 500000000, ""control_ms"": 1668, ""ffi_ms"": 16683}]",1661.60,15626.80,31.254
csharp mono,19861.00,"19647,19666,19815,20102,19548,19991,19758,20105,19978,20000",,,,
janet,27046.50,"26433,26915,26715,27086,27270,27076,26906,27038,27754,27272",,,,
